KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
8034,NOR F. NIT LONGVA,POSTVEGEN 15 LONGVA,6018.0,ÅLESUND,LONGVAFJORDVEGEN 379
7064,FRU INGA,BORGUNDVÅGVEGEN 50,6750.0,STADLANDET,BORGUNDVÅGVEGEN 50
6646,STORFJORD ISKREM,SANDVIKGATA 30,6250.0,STORDAL,TOLLBUGATA 3
1925,GJERMUNDNES VIDAREGÅANDE SKULE,FAKT.MOTTAK-ØK FYLKESHUSET,6404.0,MOLDE,
7276,ULSTEIN VIDAREGÅANDE SKULE,FAKT.MOTTAK-ØK.SEKSJON,6404.0,MOLDE,HOLSEKERDALEN 180
7396,BRAUD VALDERØY,BRAUD VALDERØY,6280.0,SØVIK,VALDERØYVEGEN 1166
3339,HELSEHUSET STELLA MARIS,"FAKT.MOTTAK, MOLDE KOMMUNE",6413.0,MOLDE,BRUGATA 6
7672,NÆRBUTIKKEN ROVDE,C/O NGG REGNSKAP  AVD OSLO,901.0,OSLO,ÅSEVIKA 3
9253,LØVENVOLD THEATER AS,LØVENVOLDGATA 11,6002.0,ÅLESUND,LØVENVOLDGATA 11
9293,FERGEKAIA SKARBØVIK,EIKREMSVEGEN 18,6036.0,MAUSEIDVÅG,SKARBØVIKGATA 26
7313,ULSTEIN KOMMUNE OMSORGSTENESTA,ULSTEIN KOMMUNE REF302000,6065.0,ULSTEINVIK,"HOLSEKERDALEN 20, REF 302000"
788,SKURET PORSELEN OG DESIGN,STRANDGATA 64,6270.0,BRATTVÅG,HAMNEVEGEN 7
8475,MF SUNNYLVSFJORD 100004,POSTBOKS 354,6902.0,FLORØ,STRANDA FERGEKAI
6536,TUSENFRYD BARNEHAGE,TEGANE 24,6200.0,STRANDA,TEGANE 24
9267,DIRTY NELLY,BRUNHOLMGATA 3C,6004.0,ÅLESUND,KIRKEGT. 1 A
7900,PARKEN KULTURHUS,REGNSKAP OG FINANS,6025.0,ÅLESUND,PARKGATA 3
7904,KAFÈ REMATUN,REGNSKAP OG FINANS REF 240010,6025.0,ÅLESUND,OLAV SUNDES VEI 2
7905,SANITETSHJEMMET BOKOLLEKTIV,REGNSKAP OG FINANS,6025.0,ÅLESUND,R.P. MORKSVEG 19
7906,SKARBØVIK SYKEHJEM 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,OLE THORESENSGT. 16
7903,KOLVIKBAKKEN U.SKOLE MAT/HELSE,REGNSKAP OG FINANS,6025.0,ÅLESUND,BORGUNDVEGEN 242
7908,KOLVIKBAKKEN U.SKOLE KANTINE,REGNSKAP OG FINANS,6008.0,ÅLESUND,BORGUNDVEGEN 242
7909,ØRSKOG SJUKEHEIM 2024,POSTBOKS 1521,6025.0,ÅLESUND,SJØHOLTVEGEN 82
7910,SPJELKAVIK OMSORGSSENTER 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,OLAV SUNDES VEI 2
7915,SKODJE BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,STADIONVEIEN 19
7914,RATVIKÅSEN BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,HATLASKARET 19
7913,STETTE BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,BJØNNABERGET 7
7912,ØRSKOG SKULE SFO 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,RYSSEBØVEGEN 2
7911,BORGUNDHEIMEN DAGSENTER 240040,REGNSKAP OG FINANS,6025.0,ÅLESUND,BORGUNDGAVLEN 52
9294,SOI ONE ÅLESUND,RASMUS RØNNEBERGS GATE 4,6002.0,ÅLESUND,RASMUS RØNNEBERGS GATE 4
7919,ÅSE HELSEHUS 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,ÅSESVINGEN 16
7918,MIDTBYEN BARNEHAGE,REGNSKAP OG FINANS REF 410150,6025.0,ÅLESUND,LOSGATA 2
7917,HARØY NYE BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,"KJØKKENINNG./RØD ""BOKS"""
7920,HATLANE OMSORSSENTER 20204,REGNSKAP OG FINANS,6025.0,ÅLESUND,BERNMARKA 6
7916,LERSTAD BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,KYRKJEHAUGEN 4B
7922,ASPØY OMSORGSSENTER 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,JOHS. AARFLOTSGATE 4
7923,BLINDHEIM OMSORGSSENTER 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,SKARPETEGVEIEN 18
7924,PRESTEMARKA BARNEHAGE,ÅLESUND KOMMUNE,6025.0,ÅLESUND,NEDRESKODJEVEG 12
7925,NØRVE BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,BØGATA 39
7926,SKARBØVIK BARNEHAGE,REGNSKAP OG FINANS REF 410160,6025.0,ÅLESUND,HARHAUGGT. 42
7927,KLIPRA KAFE,REGNSKAP OG FINANS,6025.0,ÅLESUND,FJELLGT.42
