KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
8555,ZUUMA,KONGENSGT. 13,6002.0,ÅLESUND,KONGENSGT. 13
8958,TERMINALEN,SJØVEGEN 77,6052.0,GISKE,KEISER WILHELMSGATE 6
3903,LINJA DRAGSUND KANT.306834-1,10013-1000 LARS BERNH. SANDE,6160.0,HOVDEBYGDA,INDUSTRIVEIEN 6
5887,SSP UPPER CRUST A326 AES,FAKTURAMOTTAK,2061.0,GARDERMOEN,
5888,SSP O'LEARYS A327 AES,FAKTURAMOTTAK,2061.0,GARDERMOEN,VIGRA LUFTHAVN
5895,SSP PROD.KJØKKEN Y018 AES,FAKTURAMOTTAK,2061.0,GARDERMOEN,VIGRA LUFTHAVN
8007,KEBAB 1,BORGUNDVEGEN 731,6017.0,ÅLESUND,BORGUNDVEGEN 731
3861,MH SERVICE,MH SERVICE AS,6701.0,MÅLØY,YTRE KULEN 41
4235,SPAR RAUDEBERG,7080001363093,901.0,OSLO,VIKA
2956,KIWI 919 NEDRE STRANDGATE,NEDRE STRANDGATE 51,6005.0,ÅLESUND,NEDRE STRANDGATE 51
2947,KIWI 920 BREIVIKA,7080001363468,3412.0,LIERSTANDA,LERSTADVEGEN 545
6344,KYSTEN RUNDT BRYGGJA,ALV AALEN EFTF. AS,6711.0,BRYGGJA,
1151,NAPOLI-PIZZERIA ULST.VIK,SJØGATA 61,6065.0,ULSTEINVIK,SJØGATA 61
2161,STRYN KAFFEBAR OG VERTSHUS,TONNINGSGATA 19,6783.0,STRYN,TONNINGSGATA 19
8860,SCANDIC PARKEN AVD RESTAURANT,POSTBOKS 545,6001.0,ÅLESUND,STORGATA 16
2930,KIWI 921 VESTNES,7080001371166,3412.0,LIERSTANDA,BRUGATA
8350,HAPPY ELEFANT,POSTBOKS 345,6001.0,ÅLESUND,KONGENSGATE 19
7273,KHAYA BARISTA BAR,,6210.0,VALLDAL,
2617,HELLESYLT BOUTIQUE OG BAR,GATA 29,6218.0,HELLESYLT,GATA 29
9094,SUNDE BARNEHAGE,"AVD. REGNSKAP,FINANS",6039.0,LANGEVÅG,RYSTENE 30
6859,VIKEDALEN BARNEHAGE,FAKTURAMOTTAK RÅDHUSET,6230.0,SYKKYLVEN,GRÅURVEIEN 2
3451,O.SYLTE MINERALVANNSFAKRIKK AS,EIKREMSVINGEN 1,6422.0,MOLDE,EIKREMSVINGEN 1
1097,MINIBAKERIET,EIDSGATA 42,6770.0,NORDFJORDEID,EIDSGATA 42
3078,BUNNPRIS TORGHALLEN,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,NEDRE STRANDGATE 9
3079,BUNNPRIS LANGEVÅG,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,MOLVÆRSVEGEN 41
3083,BUNNPRIS IKORNES,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,
9079,SIT KAFE/KANTINE ÅLESUND,POSTBOKS 2460 SLUPPEN,7005.0,TRONDHEIM,LARSGÅRDSVEIEN 2
9065,SIT SUNDEBYGGET STUDENTHUS,POSTBOKS 2460 SLUPPEN,7005.0,TRONDHEIM,FOGD GREVES VEG 7
8478,VARD GROUP SKANSEKAIA 422571,FAKT.MOTTAK PB 2 ØKERN,508.0,OSLO,SKANSEKAIA 2
9150,RUSTA RETAIL AVD 360 ÅLESUND,MOAVEGEN 1,6018.0,ÅLESUND,AMFI MOA NORD
13275,BLAKSTAD BARNEHAGE,FAKTURAMOTTAK RÅDHUSET,6220.0,SYKKYLVEN,
4245,SPAR VALLDAL,7080001392314,901.0,OSLO,SYLTEGATA 1
3297,YX LARSNES,,6084.0,LARSNES,
7088,TORGET MAT,POSTBOKS 299,6701.0,MÅLØY,GATE 1 NR 48
3891,MØRE TRAFO KANTINE,NAUSTVEGEN 10,6230.0,SYKKYLVEN,NAUSTVEGEN 10 AURSNES
6878,SYLTEORMEN BAKERI,SYLTEGATA 2,6210.0,VALLDAL,SYLTEGATA 2
8963,ÅLESUND SJUKEHUS HF AVD 9034,FAKTURAMOTTAK POSTBOKS 2621,6405.0,MOLDE,ÅSEHAUGEN 5
1838,VOLDA SJUKEHUS HF AVD 9033,FAKTURAMOTTAK POSTBOKS 2621,6405.0,MOLDE,KLØVERTUNVEGEN 1
7367,4008 VALLDAL FJORDHOTELL,GRANDEGATA 30,6210.0,VALLDAL,
1976,ÅHJEMSBUA,NABBEN,6740.0,SELJE,NABBEN
3089,BUNNPRIS VALLDAL,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,GRANDEGATA 38
5550,SPAR HOVDEBYGDA,7080001403478,901.0,OSLO,
3907,LINJA  AVD HØGVOLL 10012-1000,ISS BS-KANTINE 15185 TORB.AARØ,6080.0,GURSKØY,HØGVOLLVEIEN 15
5263,MATSTOVA OPPSTRYN,SANDVIK,6799.0,OPPSTRYN,OPPSTRYN
5264,"STRYN TORG,MATSTOVA",SANDVIK,6799.0,OPPSTRYN,TONNINGGATA 4
3319,ALNES FYR OG OPPLEVELSESSENTER,ALNESVEGEN 172,6055.0,GODØY,ALNESVEGEN 172
8515,XL FOOD COMPANY,POSTBOKS 48,6001.0,ÅLESUND,VALDERØYVEGEN 154
3207,LEIRVIKS AGENTURER,MÅNANESVEGEN 267,6110.0,AUSTEFJORDEN,MÅNANESVEGEN 267
8734,MF GEIRANGER 100004,POSTBOKS 354,6902.0,FLORØ,
793,BRATTVÅG FJORDHOTELL,STRANDGATA 48,6270.0,BRATTVÅG,STRANDGT. 48
2940,KIWI 923 HATLANE,SMEGARDEN 1,6016.0,ÅLESUND,SMEDGARDEN 1
2051,GRANDE FJORDHOTELL OG HYTTER,C/O AZETZ INSIGHT AS,7439.0,TRONDHEIM,ØRNEVEGEN 200
9061,FERGEKAIA SUNDE,EIKREMSVEIEN 18,6036.0,MAUSEIDVÅG,SUNDE
8905,SK ROLLON,HUSAFJELLET 9,6009.0,ÅLESUND,ROLLONHUSET LARSGÅRDEN
8408,HOTEL BROSUNDET BRYGGEN,SKANSEKAIA,6002.0,ÅLESUND,APOTEKERGATA 1-3
8764,MØRE SUPPLY,POSTBOKS 7699 SPJELKAVIK,6022.0,ÅLESUND,TVERRVEGEN 32 C
2646,4274 HOVEN RESTAURANT,GONDOLEN 1,6789.0,LOEN,GONDOLEN 1
2684,SUNDE KIOSKEN,SJØATUNET,6788.0,OLDEN,SÆTRENGÅRDEN
8785,MOLO BREW,SJØVEGEN 77,6052.0,GISKE,KEISER WILHELMSGATE 2B
9114,SCAN ASIAN SHOP MOA,LANGELANDSVEIEN 25,6010.0,ÅLESUND,LANGELANDSVEIEN 25
8834,SANSESENTERET SULATUNET,"AVD. REGNSKAP,FINANS",6039.0,LANGEVÅG,MOLVÆRSVEGEN 17
8551,FISKETORGET AVD SENTRUM,NOTENESGATA 12,6002.0,ÅLESUND,KEISER WILHELMSGATE 25
8793,MF DRYNA 100004,POSTBOKS 354,6902.0,FLORØ,
8053,WELLE GRAVFERDSTJENESTER,PHILGATA 3,6230.0,SYKKYLVEN,PHILGATA 3
3322,MAE KANYA,OTTAVIKVEGEN 29,6065.0,ULSTEINVIK,BJØRNDALSVEGEN 13
5129,OSDALS CATERING,ROTSETGEILA 13,6100.0,VOLDA,PRESTEGATA 29
8302,BULDREHALLEN,LERSTADVEGEN 506 B,6018.0,ÅLESUND,LERSTADVEGEN 506 B
7312,ULSTEIN ARENA 252201,ULSTEIN KOMMUNE 252201,6067.0,ULSTEINVIK,VIKEMYRA 2
44480,MAARUD AS,MAARUDVEIEN 130,2114.0,DISENÅ,
9141,NONNA LINA,CO ANDRÈ FONN SKÅRE,6002.0,ÅLESUND,TOLLBUGATA 2
13088,STAD HOTELL,OTNNEIM,6750.0,STADLANDET,LEIKANGER
3071,BUNNPRIS SJØHOLT,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,ÅRØYVEGEN 2
6442,NÆRBUTIKKEN NORDDAL,DALSSIDA 2,6214.0,NORDDAL,
8327,BILTEMA NORDFJORDEID,INDUSTRIVEIEN 17C,2069.0,JESSHEIM,SJØGATA 21
8173,KRUA THAI TAKEAWAY,STAVNESVEGEN 66,6006.0,ÅLESUND,MOA NORD
1056,MAGNIFIKK,HOLANE 8,6770.0,NORDFJORDEID,SJØGATA 101
7048,TANDOORI MIX,HOLMEGATA 6C,6153.0,ØRSTA,HOLMEGATA 6C
2670,OLDEN FJORDHOTEL,SOLSTRANDVEIEN 1,6788.0,OLDEN,SOLSTRANDVEIEN 1
8309,BRO,SJØVEGEN 77,6052.0,GISKE,NOTENESGATA 1
1423,FLYING TIGER COPENH. MOA,LANGELANDSVEIEN 25,6010.0,ÅLESUND,LANGELANDSVEIEN 25
8692,LAMELLA,KIPERVIKGATA 32,6003.0,ÅLESUND,KEISER WILHELMS GATE 76
7742,VINJE CAMPING,GEIRANGERVEGEN 146,6216.0,GEIRANGER,GEIRANGERVEGEN 146
3087,BUNNPRIS BROA,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,BROGATA 1
2066,GRANDE CAMPING OPPSTRYN,GRANDE,6799.0,OPPSTRYN,
8694,LETS EAT DELI,KEISER WILHELMSGATE 32,6003.0,ÅLESUND,KEISER WILHELMSGATE 32
8473,EVERGREENS,EVERGREEN,6010.0,ÅLESUND,RØNNEBERGSGATE 6
7646,ISS 460080 STATENS VEGVESEN,FAKT.MOTTAK PB 2 ØKERN,508.0,OSLO,VESTRE OLSVIKVEI 13
9232,STIFT.VITI AVD SUNNM.MUSEUM,MUSEUMSVEGEN 12,6015.0,ÅLESUND,BORGUNDGAVLEN 21
435,AURSNES KIOSK,FJORDVEGEN 18,6230.0,SYKKYLVEN,SYKKYLVSVEGEN 1
8633,WOK & GRILL,KEISER WILHELMSGT 39,6003.0,ÅLESUND,KEISER WILHELMSGT 39
8942,QUALITY HOTEL ÅLESUND,SNR 15831514,510.0,OSLO,SORENSKRIVER BULLS GATE 7
3865,MÅLØY VG SKULE,"PB 7900, REF 343000",5020.0,BERGEN,NORDFJORDVEIEN 9109
7417,VERONA PIZZA,KYRKJEGATA 14A,6065.0,ULSTEINVIK,KYRKJEGATA 14A
8943,FISKERSTRAND VERFT KANTINE REN,TVERRVEGEN 30B,6020.0,ÅLESUND,RISEVEGEN 23
8944,KANTINE LERSTADVEIEN 545,TVERRVEGEN 30B,6020.0,ÅLESUND,LERSTADVEIEN 545
8474,FUNKY FROZEN YOGURT AMFI MOA,LANGELANDSVEGEN 25,6010.0,ÅLESUND,NYBYGG AMFI SYD
8581,MF HORNELEN CATERING 100004,POSTBOKS 354,6902.0,FLORØ,MÅLØY FERGEKAI
8582,MF SELJE CATERING 100004,POSTBOKS 354,6902.0,FLORØ,STÅRHEIM FERGEKAI
1646,BRYGGA SPORTSBAR,SJØGATA 30,6065.0,ULSTEINVIK,SJØGATA 30
8562,"ELEKTROIMPORTØREN NORGE AS,ÅLE",SMIBAKKEN 10,6018.0,ÅLESUND,SMIBAKKEN 10
3558,JAFS KOKKEN ROLL,OSBERGVEGEN 10,6065.0,ULSTEINVIK,STRANDGATA 77
8586,MF GISKØY 100004,POSTBOKS 354,6902.0,FLORØ,SULESUND FERGEKAI
8587,MF HADARØY CATERING 100004,POSTBOKS 354,6902.0,FLORØ,SULESUND FERGEKAI
8588,MF SULØY CATERING 100004,POSTBOKS 354,6902.0,FLORØ,SULESUND FERGEKAI
8559,HOTEL NOREG,RASMUS RØNNEBERGS GT 21,6002.0,ÅLESUND,KONGENSGT. 27
9159,SPORTSPARKEN VEGSUND,BLINDHEIM INDUSTRIVEG 2D,6020.0,ÅLESUND,BLINDHEIM INDUSTRIVEG 2D
9014,PINSEKIRKA FILADELFIA ÅLESUND,POSTBOKS 7673 SPJELKAVIK,6022.0,ÅLESUND,VINDGÅRDSVEGEN 1
4047,OBS BYGG DIGERNES,DIGERNESET NÆRINGSPARK 1,6260.0,SKODJE,DIGERNESET NÆRINGSPARK 1
3323,ALNES BRYGGE,ALNESVEIEN 68,6055.0,GODØY,ALNESVEIEN 68
8358,KK MAT AS,JENSVIKVEGEN 50,6260.0,SKODJE,SPJELKAVIKVEGEN 50
8570,HOTEL 1904 AS,LØVENVOLDGATA 8,6002.0,ÅLESUND,LØVENVOLDGATA 8
8929,RACOON COFFEE,KONGENS GT 6,6002.0,ÅLESUND,KONGENS GT 6
8947,DRÅPE ÅLESUND KAFFEHUS AS,STORGATA 4,6002.0,ÅLESUND,STORGATA 4
6376,SYKKYLVEN UNGDOMSSKULE,FAKTURAMOTTAK RÅDHUSET,6230.0,SYKKYLVEN,KYRKJEVEGEN 3
8005,VINNI BAR OG RESTAURANT,KIPERVIKGATA 11,6003.0,ÅLESUND,RASMUS RØNNEBERGSGATE 6
3981,NOGVA MOTORFABRIKK,HAMSUNDVEGEN 266,6280.0,SØVIK,HAMSUNDVEGEN 266
7364,GISKE BARNEHAGE,RÅDHUSET V/ØKON.SEKSJONEN,6050.0,VALDERØY,BEDEHUSVEGEN 5
4205,JOKER ÅHEIM,,6146.0,ÅHEIM,
8564,SEAFOOD FARMERS OF NORWAY,OKSNES,6050.0,VALDERØY,OKSNES
7579,VIGRA BARNEHAGE,RÅDHUSET V/ØKON.SEKSJONEN,6050.0,VALDERØY,BAKARVEGEN 4
2485,BLÅTIND HOTEL,EKRELIA 28,6250.0,STORDAL,EKRELIA 28
598,BARIUS & KAKTUS,POSTBOKS 57,6290.0,HARAMSØY,ULLAVEGEN 61 A
7627,SPERRE INDUSTRI  KANTINE,ELLINGSØYVEIEN 740,6057.0,ELLINGSØY,ELLINGSØYVEIEN 740
5183,POWER STRYN,PERHUSVEGEN 25,6783.0,STRYN,PERHUSVEGEN 25
3054,BUNNPRIS SKANSEN,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,SKAREGATA 1
8594,MF ROVDEHORN CATERING 100004,POSTBOKS 354,6902.0,FLORØ,MAGERHOLM FERGEKAI
8284,ASSIST ÅLESUND,KALVØYVEGEN 20,6014.0,ÅLESUND,KALVØYVEGEN 20
9164,RUSTA AVD 387 VOLDA,FURENE 20,6105.0,VOLDA,FURENE 20
554,JOKER BELLINGEN,7080001468781,901.0,OSLO,ØYRAGATA 40
7515,VESTBORG VIDAREGÅANDE SKULE,CO KNIF REGNSKAP,4633.0,KRISTIANSAND,HEVSDALSVN. 11
2961,KIWI 924 VALLEKRYSSET,7080001463588,3412.0,LIERSTANDA,GLOMSETVEGEN 8
8595,MF SKOPPHORN CATERING 100004,POSTBOKS 354,6902.0,FLORØ,MAGERHOLM FERGEKAI
4020,ROSENLUND HAMN,POSTBOKS 4403,6044.0,ÅLESUND,SANDSHAMN
8967,SPJELKAVIK VEISERVICE,7080004075108,901.0,OSLO,BRUSDALSVEGEN 2
2963,KIWI 922 NORDFJORDEID,7080001463441,3412.0,LIERSTANDA,NORDFJORDVEGEN 4517
8597,MF KVERNES 100004,POSTBOKS 354,6902.0,FLORØ,SÆBØ FERGEKAI
8953,COOP OBS KAFE AVD 5289,528904 OBS KAFE STORMOA,7302.0,ORKANGER,MOAVEIEN 1
8058,MF TIDEFJORD,POSTBOKS 839 SENTRUM,4004.0,STAVANGER,SUNDE/FESTØY
8409,STIFTINGA VITI KUNSTMUSEET,MUSEUMSVEGEN 12,6015.0,ÅLESUND,APOTERGT. 16
8147,Å577 ERLING 8,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8148,Å578 ERLING 9,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8149,Å579 ERLING 10,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8150,Å580 TERJE 7,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
